,Quarter,SRSource,Count,Others_Count
0,2022Q1,3-1-1 Call Center,10560,3524
1,2022Q1,AMPS,736,3524
2,2022Q1,Correspondence,312,3524
3,2022Q1,DOT,194,3524
4,2022Q1,DPR,122,3524
5,2022Q1,DPR -Public Tree Map,154,3524
6,2022Q1,Department of Parks and Recreation - Public Web Site,3052,3524
7,2022Q1,FDNY,2,3524
8,2022Q1,Park Inspection Program,84,3524
16,2022Q2,FDNY,1,7669
15,2022Q2,Department of Parks and Recreation - Public Web Site,7140,7669
14,2022Q2,DPR -Public Tree Map,360,7669
13,2022Q2,DPR,96,7669
17,2022Q2,Park Inspection Program,98,7669
11,2022Q2,Correspondence,250,7669
10,2022Q2,AMPS,1254,7669
9,2022Q2,3-1-1 Call Center,23189,7669
12,2022Q2,DOT,72,7669
25,2022Q3,Park Inspection Program,133,7103
23,2022Q3,DPR -Public Tree Map,604,7103
22,2022Q3,DPR,63,7103
24,2022Q3,Department of Parks and Recreation - Public Web Site,6427,7103
20,2022Q3,Correspondence,149,7103
19,2022Q3,AMPS,1484,7103
18,2022Q3,3-1-1 Call Center,27342,7103
21,2022Q3,DOT,9,7103
33,2022Q4,FDNY,2,7158
26,2022Q4,3-1-1 Call Center,14925,7158
27,2022Q4,AMPS,831,7158
28,2022Q4,Correspondence,170,7158
29,2022Q4,DOT,573,7158
30,2022Q4,DPR,48,7158
31,2022Q4,DPR -Public Tree Map,227,7158
32,2022Q4,Department of Parks and Recreation - Public Web Site,6308,7158
34,2022Q4,Park Inspection Program,110,7158